what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1594312101253
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1594312101253
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1594312101253
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1594312101253
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1594312101253
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1594312101253
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1594312101253
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1594312101253
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1594312101253
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1594312101253
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1594312101253
os,sysinfo,,,"win32",1594312101269
arch,sysinfo,,,"x86",1594312101269
ws,sysinfo,,,"win32",1594312101269
locale,sysinfo,,,"en_US",1594312101269
processors,sysinfo,,,"2",1594312101269
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1594312101269
java.runtime.version,sysinfo,,,"1.8.0_241-b07",1594312101269
java.specification.name,sysinfo,,,"Java Platform API Specification",1594312101269
java.specification.vendor,sysinfo,,,"Oracle Corporation",1594312101269
java.specification.version,sysinfo,,,"1.8",1594312101269
java.vendor,sysinfo,,,"Oracle Corporation",1594312101269
java.version,sysinfo,,,"1.8.0_241",1594312101269
java.vm.info,sysinfo,,,"mixed mode",1594312101269
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1594312101269
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1594312101269
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1594312101269
java.vm.specification.version,sysinfo,,,"1.8",1594312101269
java.vm.vendor,sysinfo,,,"Oracle Corporation",1594312101269
java.vm.version,sysinfo,,,"25.241-b07",1594312101269
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1594312101417
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1594312101582
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1594312101692
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1594312101807
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1594312101857
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1594312101857
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1594312101857
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1594312101862
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1594312101932
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1594312101967
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1594312101972
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1594312102984
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1594312110914
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1594312111531
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1594312113453
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1594312113653
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1594312113738
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594312114128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594312114148
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1594312117694
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1594312121103
