what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1581576463613
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581576611878
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581576614471
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581576614882
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581576615500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581576615930
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581576616541
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1581576864847
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581576865057
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581576866415
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577106302
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577110692
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577111526
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577114474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577118178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577119756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577120042
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577121691
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1581577208196
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1581577209716
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1581577210124
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1581577215163
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1581577265631
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1581577265793
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1581577265946
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1581577266127
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581577281495
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1581577290121
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1581577290462
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581577296318
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581577300257
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581577302862
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1581577318046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577318255
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577318612
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1581577343322
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577343480
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577344031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577395331
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581577447616
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1581578229453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578234037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578494853
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578495857
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578496122
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1581578505692
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578505708
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578506254
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1581578518816
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578519050
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578519237
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578525063
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578566184
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578566867
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578630964
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578633255
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578754358
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578755106
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578757851
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1581578759912
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578770884
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578805710
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578818014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578820103
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578828609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578837531
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581578837941
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581578837994
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581578866367
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581578885495
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1581578918706
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1581578921122
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1581578933453
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1581578934002
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1581578938406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578945688
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578952349
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581578952737
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581578952797
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581578967921
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1581578983956
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578988803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581578993072
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581578993503
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581578993537
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581579010855
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581579025694
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581579051006
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1581579061728
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581579065612
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581579074770
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581579075183
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581579075221
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1581579136921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581579243406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581579273902
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1581579275863
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581579276020
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1581579285489
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581579285633
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1581579293474
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581579293639
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1581579296712
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581579296874
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581579298388
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581579337277
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581579338922
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581579340276
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1581579394837
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581579395984
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1581579407554
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581579407703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581579423687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581579432028
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1581579434337
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581579434904
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581579436236
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1581579440288
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581579440478
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1581579443464
