what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243227072
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243253330
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243265418
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1581243268088
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243277566
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243279071
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243282301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243284491
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243292756
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243294074
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243309839
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243312672
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243347327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243351528
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243353194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243357004
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243358224
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243359005
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243363805
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243472519
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243491712
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243496497
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1581243514663
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1581243544860
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243545144
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243546758
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1581243550479
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581243557786
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1581243559519
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1581243560818
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1581243563883
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1581243566155
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243566359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243567788
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1581243569436
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581243572999
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1581243595852
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243598368
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581243627686
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581243627941
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581243627992
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1581243635844
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1581243640399
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581243723003
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581243784419
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1581243801560
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1581243816176
