what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1594308787883
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1594308787888
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1594308787893
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1594308787893
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1594308787913
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1594308787933
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1594308787938
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1594308787948
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1594308787948
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1594308788008
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1594308788013
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1594308788013
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1594308788073
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1594308788088
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1594308788103
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1594308788168
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1594308788168
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1594308788193
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1594308788228
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1594308788243
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1594308788253
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1594308788258
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1594308788263
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1594308788263
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1594308788283
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1594308788293
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1594308788298
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1594308788303
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1594308788303
os,sysinfo,,,"win32",1594308788328
arch,sysinfo,,,"x86",1594308788328
ws,sysinfo,,,"win32",1594308788328
locale,sysinfo,,,"en_US",1594308788328
processors,sysinfo,,,"2",1594308788328
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1594308788328
java.runtime.version,sysinfo,,,"1.8.0_241-b07",1594308788328
java.specification.name,sysinfo,,,"Java Platform API Specification",1594308788328
java.specification.vendor,sysinfo,,,"Oracle Corporation",1594308788328
java.specification.version,sysinfo,,,"1.8",1594308788328
java.vendor,sysinfo,,,"Oracle Corporation",1594308788328
java.version,sysinfo,,,"1.8.0_241",1594308788328
java.vm.info,sysinfo,,,"mixed mode",1594308788328
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1594308788328
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1594308788328
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1594308788328
java.vm.specification.version,sysinfo,,,"1.8",1594308788328
java.vm.vendor,sysinfo,,,"Oracle Corporation",1594308788328
java.vm.version,sysinfo,,,"25.241-b07",1594308788328
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1594308788433
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1594308789403
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1594308791013
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1594308792080
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1594308792550
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1594308792835
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1594308793135
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1594308793305
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1594308794325
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1594308794370
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1594308794520
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1594308796175
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1594308796255
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1594308850787
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1594308851489
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594308869648
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594308875872
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594308882081
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594308917009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594308922204
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594308956159
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1594308956175
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594308960480
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1594308970121
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1594308973350
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1594308973538
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1594308973772
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594308990370
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1594308990386
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594308995471
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309034897
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1594309034928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309041222
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1594309044214
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1594309044301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309089253
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1594309089268
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309098534
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309114462
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309122499
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309149683
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1594309152064
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1594309152174
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1594309152303
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1594309152523
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1594309152975
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1594309156961
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309158782
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309160051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309160355
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309187331
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1594309193185
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1594309196723
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1594309202615
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1594309205965
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1594309212838
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1594309251958
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1594309276007
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309282866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309310189
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1594309310205
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1594309313206
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1594309314368
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309325905
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309328986
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309347548
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309347704
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1594309365299
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1594309365362
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309409521
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309410420
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309412360
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309435979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309454474
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309460162
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1594309462918
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309465803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309475359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1594309476939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309505993
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309506879
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309507284
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309509748
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309512113
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309519383
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309519923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309521068
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309540828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309542313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309573083
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1594309573633
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1594309573693
